tag,question_index,image_index,type,question,answer_gt,answer_pred,correct
PRED,69,6,count,What number of things are objects behind the big green matte cube or things that are in front of the big shiny thing?,3,<ERROR:AssertionError>,0
PRED,70,7,query_attr,The object that is the same color as the tiny cube is what size?,large,<ERROR:ValueError>,0
PRED,71,7,count,What number of objects are tiny spheres or brown blocks behind the gray matte object?,2,<ERROR:AssertionError>,0
PRED,72,7,exist,Are there any gray rubber spheres on the left side of the matte block that is to the right of the tiny rubber cylinder?,no,<ERROR:AssertionError>,0
PRED,73,7,query_attr,What color is the matte thing in front of the large cube?,cyan,<ERROR:AssertionError>,0
PRED,74,7,count,Are there an equal number of small things that are left of the gray object and large cyan matte balls?,no,<ERROR:AssertionError>,0
PRED,75,7,query_attr,There is a thing that is both to the left of the gray sphere and to the right of the small cylinder; what shape is it?,cube,<ERROR:AssertionError>,0
PRED,76,7,query_attr,What color is the other object that is the same shape as the large brown matte thing?,brown,<ERROR:ValueError>,0
PRED,77,7,exist,Is there any other thing that is the same color as the cylinder?,no,yes,0
PRED,78,7,query_attr,What shape is the brown rubber object that is in front of the brown rubber block on the right side of the matte object that is on the left side of the tiny rubber cylinder?,cube,<ERROR:AssertionError>,0
PRED,79,7,query_attr,There is a thing that is behind the small gray object; is its size the same as the matte block in front of the small brown block?,no,<ERROR:AssertionError>,0
PRED,80,8,query_attr,Do the purple cylinder and the yellow rubber thing have the same size?,no,<ERROR:AssertionError>,0
PRED,81,8,query_attr,What is the shape of the large object that is made of the same material as the purple ball?,sphere,<ERROR:ValueError>,0
PRED,82,8,count,What number of other things are the same shape as the purple matte thing?,1,2,0
PRED,83,8,query_attr,There is a big yellow thing that is right of the yellow thing that is in front of the matte cylinder that is right of the yellow matte thing; what is its shape?,cylinder,<ERROR:AssertionError>,0
PRED,84,8,count,What number of cylinders are small purple things or yellow rubber things?,2,2,1
PRED,85,8,exist,There is a metal cube that is behind the tiny yellow thing; is there a yellow rubber object on the left side of it?,no,<ERROR:AssertionError>,0
PRED,86,8,query_attr,There is a tiny purple rubber thing; does it have the same shape as the brown object that is on the left side of the rubber sphere?,no,<ERROR:AssertionError>,0
PRED,87,8,count,What number of other objects are there of the same size as the gray sphere?,5,6,0
PRED,88,8,count,What number of gray things are either large rubber cylinders or small spheres?,1,1,1
PRED,89,8,count,What number of tiny things are both on the left side of the gray shiny sphere and to the right of the brown rubber cube?,1,<ERROR:AssertionError>,0
PRED,90,9,exist,Are there any other things that are the same shape as the big brown object?,no,yes,0
PRED,91,9,count,What number of objects are gray metallic spheres in front of the tiny blue metallic thing or large blue blocks?,2,<ERROR:AssertionError>,0
PRED,92,9,query_attr,What is the color of the small block that is the same material as the big brown thing?,gray,<ERROR:ValueError>,0
PRED,93,9,exist,Is there a blue metal object that has the same size as the gray metal object?,yes,yes,1
PRED,94,9,query_attr,Do the big rubber cube that is behind the small rubber cube and the large matte cylinder have the same color?,no,<ERROR:ValueError>,0
PRED,95,9,query_attr,The large thing that is both on the left side of the purple shiny object and behind the tiny gray metallic ball is what color?,brown,<ERROR:AssertionError>,0
PRED,96,9,query_attr,There is a gray rubber thing that is the same size as the gray sphere; what shape is it?,cube,<ERROR:ValueError>,0
PRED,97,9,exist,Is there a gray metal object that has the same shape as the brown shiny object?,yes,yes,1
PRED,98,9,query_attr,Do the metallic sphere to the right of the brown matte cylinder and the gray metallic thing have the same size?,yes,<ERROR:AssertionError>,0
PRED,99,9,query_attr,There is a metallic object that is left of the brown ball and in front of the tiny blue block; what is its size?,small,<ERROR:ValueError>,0
PRED,100,10,count,How many other objects are there of the same material as the small cylinder?,0,1,0
PRED,101,10,count,Are there more green objects than tiny rubber cylinders?,yes,1,0
PRED,102,10,query_attr,There is a large green object on the left side of the small purple block; does it have the same shape as the purple rubber object?,no,<ERROR:AssertionError>,0
PRED,103,10,count,Are there fewer tiny shiny cubes than green metallic things?,yes,1,0
PRED,104,10,query_attr,What is the material of the other object that is the same size as the matte thing?,metal,<ERROR:ValueError>,0
PRED,105,10,query_attr,There is a cylinder; does it have the same color as the big metallic cube on the left side of the small metallic block?,no,<ERROR:AssertionError>,0
PRED,106,10,count,Are there fewer purple matte objects that are on the right side of the tiny purple matte object than large cyan cylinders?,no,<ERROR:AssertionError>,0
PRED,107,10,count,How many small matte things are there?,1,1,1
PRED,108,10,query_attr,There is a object that is in front of the green metallic thing that is to the left of the tiny purple cube; what is its shape?,cylinder,<ERROR:AssertionError>,0
PRED,109,10,count,There is a small purple shiny block; how many large metallic blocks are behind it?,1,<ERROR:AssertionError>,0
PRED,110,11,query_attr,What is the size of the metal object that is the same color as the small metallic cylinder?,small,<ERROR:ValueError>,0
PRED,111,11,query_attr,Does the large red rubber object have the same shape as the tiny red thing on the right side of the large cube?,yes,<ERROR:AssertionError>,0
PRED,112,11,count,How many red objects have the same size as the red cylinder?,1,2,0
PRED,113,11,count,What number of red shiny cubes are to the right of the thing that is to the left of the red metal object that is behind the gray matte sphere?,1,<ERROR:AssertionError>,0
PRED,114,11,count,Is the number of big brown objects behind the tiny red shiny cylinder the same as the number of metallic blocks that are on the right side of the gray ball?,no,<ERROR:AssertionError>,0
PRED,115,11,count,How many small metallic things are the same shape as the big brown thing?,1,1,1
PRED,116,11,exist,Is there a block that has the same material as the large brown cylinder?,yes,yes,1
PRED,117,11,query_attr,There is a metal thing that is the same color as the metal cube; what shape is it?,cylinder,<ERROR:ValueError>,0
PRED,118,11,count,What number of tiny objects are there?,3,3,1
PRED,119,11,count,How many cylinders are brown things or big gray rubber objects?,1,2,0
PRED,120,12,count,What number of other objects are there of the same size as the brown shiny object?,2,3,0
PRED,121,12,query_attr,What is the color of the rubber cube?,red,red,1
PRED,122,12,count,How many rubber things are either brown things or big cyan objects?,0,0,1
PRED,123,12,exist,Are there any other things that are the same material as the large brown object?,yes,yes,1
PRED,124,12,count,There is a big brown metal cylinder; how many large metallic cylinders are behind it?,1,<ERROR:AssertionError>,0
PRED,125,12,exist,Are there any cylinders in front of the shiny object that is right of the metallic thing in front of the large red object?,yes,<ERROR:AssertionError>,0
PRED,126,12,count,How many brown metal cylinders have the same size as the purple cylinder?,1,1,1
PRED,127,12,query_attr,There is a large red object that is behind the big shiny cylinder that is to the left of the large purple metal cylinder; what is its material?,rubber,<ERROR:AssertionError>,0
PRED,128,12,query_attr,What shape is the big shiny object that is behind the big object that is right of the big metal thing to the right of the big brown metallic cylinder?,cylinder,<ERROR:AssertionError>,0
PRED,129,12,query_attr,Does the brown metal thing on the left side of the large red rubber cube have the same shape as the big metallic thing right of the brown cylinder?,yes,<ERROR:AssertionError>,0
PRED,130,13,count,How many other things are the same shape as the blue metal object?,1,2,0
PRED,131,13,query_attr,Do the small red object that is right of the large purple shiny object and the large object that is in front of the big sphere have the same shape?,no,<ERROR:AssertionError>,0
PRED,132,13,count,Are there the same number of balls in front of the tiny cyan metallic cylinder and small gray rubber objects behind the tiny matte block?,yes,<ERROR:AssertionError>,0
PRED,133,13,query_attr,The matte thing to the left of the shiny thing in front of the tiny red metal thing that is behind the tiny cyan metallic cylinder is what shape?,cube,<ERROR:AssertionError>,0
PRED,134,13,query_attr,Are the small block that is to the left of the purple cube and the gray thing in front of the tiny cyan shiny thing made of the same material?,no,<ERROR:AssertionError>,0
PRED,135,13,query_attr,What shape is the small red object right of the small gray cube?,sphere,<ERROR:AssertionError>,0
PRED,136,13,count,Are there fewer red balls than big green matte cubes?,no,0,0
PRED,137,13,exist,Are there any cyan metallic cylinders to the right of the gray cylinder that is on the right side of the tiny red thing that is to the left of the big purple thing?,no,<ERROR:AssertionError>,0
PRED,138,13,count,How many metal things are cyan cylinders or large brown blocks?,1,1,1
PRED,139,13,query_attr,Does the big sphere have the same color as the tiny rubber block?,no,<ERROR:AssertionError>,0
PRED,140,14,count,What number of things are either big green objects or objects that are in front of the green rubber thing?,3,<ERROR:AssertionError>,0
PRED,141,14,query_attr,There is a tiny matte thing that is in front of the tiny brown rubber cylinder; what color is it?,purple,<ERROR:AssertionError>,0
PRED,142,14,query_attr,What shape is the brown thing?,cylinder,cylinder,1
PRED,143,14,query_attr,What is the cylinder behind the tiny thing that is behind the small matte block made of?,rubber,<ERROR:AssertionError>,0
PRED,144,14,count,How many other things are there of the same material as the big thing?,2,3,0
PRED,145,14,query_attr,What is the material of the other thing that is the same size as the brown matte thing?,rubber,<ERROR:ValueError>,0
PRED,146,14,count,Is the number of brown matte cylinders that are behind the purple object greater than the number of big cylinders that are behind the green matte cylinder?,yes,<ERROR:AssertionError>,0
PRED,147,14,exist,Are there any other green things that have the same shape as the large object?,no,yes,0
PRED,148,14,query_attr,There is a brown matte object that is the same size as the purple cube; what is its shape?,cylinder,cylinder,1
PRED,149,14,query_attr,What is the shape of the tiny object that is to the right of the large green object?,cylinder,<ERROR:AssertionError>,0
PRED,150,15,query_attr,There is a ball that is both to the right of the small red thing and in front of the large metal sphere; what is its material?,rubber,<ERROR:AssertionError>,0
PRED,151,15,query_attr,Is the gray cylinder made of the same material as the tiny ball?,yes,<ERROR:NotImplementedError>,0
PRED,152,15,count,What number of blue cylinders have the same size as the gray cylinder?,0,0,1
PRED,153,15,count,Are there the same number of big gray rubber spheres to the right of the large gray matte sphere and tiny gray rubber spheres?,yes,<ERROR:AssertionError>,0
PRED,154,15,count,What number of metallic things are in front of the small metal block and to the right of the big metal sphere?,1,<ERROR:AssertionError>,0
PRED,155,15,query_attr,There is a red shiny thing that is to the left of the big red shiny thing; is it the same shape as the small yellow matte thing?,no,<ERROR:AssertionError>,0
PRED,156,15,query_attr,There is a gray ball that is the same size as the cylinder; what is it made of?,rubber,rubber,1
PRED,157,15,count,Are there an equal number of tiny yellow rubber objects that are behind the tiny gray cube and cubes that are behind the big gray ball?,no,<ERROR:AssertionError>,0
PRED,158,15,count,How many big red metallic objects are behind the red ball behind the metallic object on the left side of the rubber sphere?,0,<ERROR:AssertionError>,0
PRED,159,15,query_attr,Do the tiny metal cube and the cube in front of the large cylinder have the same color?,no,<ERROR:AssertionError>,0
PRED,160,16,exist,Are there any other things that have the same material as the brown cylinder?,no,yes,0
PRED,161,16,query_attr,Is the shape of the matte object behind the blue rubber sphere the same as the rubber object that is in front of the small red object?,no,<ERROR:AssertionError>,0
PRED,162,16,query_attr,The cylinder that is to the right of the small object behind the tiny rubber cylinder is what color?,red,<ERROR:AssertionError>,0
PRED,163,16,count,How many cylinders are big brown things or tiny red objects?,1,2,0
PRED,164,16,count,There is a small cylinder that is right of the rubber object that is on the left side of the small red rubber cylinder; how many brown metallic objects are to the left of it?,1,<ERROR:AssertionError>,0
PRED,165,16,exist,Is there a small blue ball made of the same material as the tiny red thing?,yes,yes,1
PRED,166,16,query_attr,Is the small red thing made of the same material as the small ball?,yes,<ERROR:NotImplementedError>,0
PRED,167,16,count,What number of small brown shiny cylinders are on the left side of the cylinder that is in front of the brown metal thing?,1,<ERROR:AssertionError>,0
PRED,168,16,count,How many gray things are small rubber cylinders or small metal objects?,0,0,1
PRED,169,16,query_attr,What is the shape of the tiny object that is to the left of the tiny thing that is in front of the tiny cylinder in front of the brown cylinder?,cylinder,<ERROR:AssertionError>,0
PRED,170,17,query_attr,What is the shape of the gray matte object to the right of the large ball that is right of the yellow cylinder?,sphere,<ERROR:AssertionError>,0
PRED,171,17,exist,Is there a cyan shiny thing of the same size as the block?,no,no,1
PRED,172,17,count,Are there fewer tiny yellow cylinders than yellow metal cubes?,no,0,0
PRED,173,17,query_attr,What shape is the matte thing that is behind the small matte cylinder that is on the left side of the matte cylinder in front of the small gray sphere?,sphere,<ERROR:AssertionError>,0
PRED,174,17,count,How many things are cylinders to the right of the gray rubber ball or brown things that are behind the cyan metallic thing?,5,<ERROR:AssertionError>,0
PRED,175,17,exist,There is a big brown matte ball; are there any brown matte things left of it?,yes,<ERROR:AssertionError>,0
PRED,176,17,count,What number of things are matte objects that are behind the large cube or big purple shiny balls?,3,<ERROR:AssertionError>,0
PRED,177,17,count,How many brown things are big rubber balls or metallic cylinders?,3,3,1
PRED,178,17,count,What number of other things are there of the same color as the big metal cylinder?,3,4,0
PRED,179,17,count,Is the number of red rubber things to the left of the cyan cube less than the number of tiny cyan metal objects?,yes,<ERROR:AssertionError>,0
PRED,180,18,query_attr,The red object that is the same size as the cyan metallic cylinder is what shape?,cylinder,cylinder,1
PRED,181,18,query_attr,What shape is the big metal thing that is the same color as the small cylinder?,cylinder,cylinder,1
PRED,182,18,query_attr,What is the large red cylinder made of?,metal,metal,1
PRED,183,18,count,Are there more blocks in front of the large purple cube than yellow metal blocks?,no,<ERROR:AssertionError>,0
PRED,184,18,exist,Are there any large brown objects?,yes,yes,1
PRED,185,18,count,What number of other objects are there of the same shape as the tiny cyan matte thing?,2,3,0
PRED,186,18,query_attr,Is the color of the shiny thing that is to the left of the small cyan rubber thing the same as the big object that is right of the large red cylinder?,no,<ERROR:AssertionError>,0
PRED,187,18,query_attr,What is the size of the shiny thing that is in front of the cyan thing in front of the small matte object that is left of the big cyan object?,large,<ERROR:AssertionError>,0
PRED,188,18,query_attr,The shiny object that is behind the large purple shiny block and in front of the large red cylinder has what shape?,cylinder,<ERROR:AssertionError>,0
PRED,189,18,count,Is the number of shiny things that are right of the cyan rubber cylinder the same as the number of things that are behind the purple object?,no,<ERROR:AssertionError>,0
PRED,190,19,exist,Is there a cyan thing that has the same material as the cyan cylinder?,no,yes,0
PRED,191,19,query_attr,There is a thing that is in front of the brown thing; what is its color?,cyan,<ERROR:AssertionError>,0
PRED,192,19,query_attr,There is a large cyan matte object; does it have the same shape as the shiny object to the left of the big cylinder?,no,<ERROR:AssertionError>,0
PRED,193,19,exist,Is there another block that has the same color as the tiny cube?,no,yes,0
PRED,194,19,query_attr,What size is the brown block that is the same material as the large green object?,small,small,1
PRED,195,19,query_attr,Does the large cylinder have the same color as the tiny block?,no,<ERROR:AssertionError>,0
PRED,196,19,query_attr,Do the large shiny object left of the big cyan object and the large cyan object have the same shape?,no,<ERROR:AssertionError>,0
PRED,197,19,count,How many green objects have the same size as the green metallic block?,0,1,0
PRED,198,19,exist,There is a block in front of the big yellow metallic cube; are there any yellow things behind it?,yes,<ERROR:AssertionError>,0
PRED,199,19,count,What number of objects are blocks that are in front of the big green shiny thing or small purple spheres?,2,<ERROR:AssertionError>,0
